word,start,end,-20ms_start,-20ms_end,-15ms_start,-15ms_end,-10ms_start,-10ms_end,-5ms_start,-5ms_end,0ms_start,0ms_end,5ms_start,5ms_end,10ms_start,10ms_end,15ms_start,15ms_end,20ms_start,20ms_end
goes,56.64,56.96,56.56,56.88,56.56,56.88,56.56,56.88,56.56,56.96,56.64,56.96,56.64,56.96,56.64,56.96,56.64,56.96,56.64,56.96
Brombones,56.96,58.0,56.88,58.0,56.88,58.0,56.88,58.0,56.96,58.0,56.96,58.0,56.96,58.0,56.96,58.0,56.96,58.0,56.96,58.0
and,58.0,58.16,58.0,58.16,58.0,58.16,58.0,58.16,58.0,58.16,58.0,58.16,58.0,58.16,58.0,58.16,58.0,58.16,58.0,58.16
his,58.16,58.4,58.16,58.32,58.16,58.32,58.16,58.4,58.16,58.4,58.16,58.4,58.16,58.4,58.16,58.4,58.16,58.4,58.16,58.4
gang.,58.4,58.8,58.32,58.8,58.32,58.8,58.4,58.8,58.4,58.8,58.4,58.8,58.4,58.8,58.4,58.8,58.4,58.88,58.4,58.88
The,59.12,59.28,59.12,59.28,59.12,59.28,59.12,59.28,59.12,59.28,59.12,59.28,59.12,59.28,59.12,59.28,59.2,59.28,59.2,59.28
neighbors,59.28,59.76,59.28,59.76,59.28,59.76,59.28,59.76,59.28,59.76,59.28,59.76,59.28,59.76,59.28,59.76,59.28,59.76,59.28,59.76
looked,59.76,60.0,59.76,60.0,59.76,60.0,59.76,60.0,59.76,60.0,59.76,60.0,59.76,60.0,59.76,60.0,59.84,60.0,59.84,60.0
upon,60.0,60.16,60.0,60.16,60.0,60.16,60.0,60.16,60.0,60.16,60.0,60.16,60.0,60.16,60.0,60.16,60.0,60.16,60.0,60.16
him,60.16,60.24,60.16,60.24,60.16,60.24,60.16,60.24,60.16,60.24,60.16,60.24,60.16,60.24,60.16,60.24,60.16,60.24,60.16,60.24
with,60.24,60.32,60.24,60.32,60.24,60.32,60.24,60.32,60.24,60.32,60.24,60.32,60.24,60.32,60.24,60.32,60.24,60.32,60.24,60.32
